"_id",Sensor No,Temp,Time
60b498a3103cf581243c5997,2,27.7083,05/31/2021 11:04:51
60b498a3103cf581243c5998,3,27.9816,05/31/2021 11:04:51
60b498a3103cf581243c5999,4,27.8265,05/31/2021 11:04:51
60b498a3103cf581243c599a,5,28.0939,05/31/2021 11:04:51
60b498a3103cf581243c599b,6,27.5982,05/31/2021 11:04:51
60b498a3103cf581243c599c,7,25.8437,05/31/2021 11:04:51
60b498a3103cf581243c599d,8,25.7251,05/31/2021 11:04:51
60b498a3103cf581243c599e,9,25.176,05/31/2021 11:04:51
60b498a3103cf581243c599f,10,26.6562,05/31/2021 11:04:51
60b498a3103cf581243c59a0,11,27.0628,05/31/2021 11:04:51
60b498a3103cf581243c59a1,12,26.966,05/31/2021 11:04:51
60b498a3103cf581243c59a2,13,26.7562,05/31/2021 11:04:51
60b498a3103cf581243c59a3,14,25.7112,05/31/2021 11:04:51
60b498a3103cf581243c59a4,15,26.3967,05/31/2021 11:04:51
60b498a3103cf581243c59a5,16,27.0273,05/31/2021 11:04:51
60b498a3103cf581243c59a6,17,27.0722,05/31/2021 11:04:51
60b498a3103cf581243c59a7,18,26.9395,05/31/2021 11:04:51
60b498a3103cf581243c59a8,19,25.3289,05/31/2021 11:04:51
60b498a3103cf581243c59a9,20,25.6285,05/31/2021 11:04:51
60b498a3103cf581243c59aa,21,25.381,05/31/2021 11:04:51
60b498a3103cf581243c59ab,22,25.6345,05/31/2021 11:04:51
60b498a3103cf581243c59ac,23,25.6557,05/31/2021 11:04:51
60b498a3103cf581243c59ad,24,25.565,05/31/2021 11:04:51
60b498a3103cf581243c59ae,25,25.7577,05/31/2021 11:04:51
60b498a3103cf581243c59af,26,25.665,05/31/2021 11:04:51
60b498a3103cf581243c59b0,27,25.5089,05/31/2021 11:04:51
60b498a3103cf581243c59b1,28,25.8562,05/31/2021 11:04:51
60b498a3103cf581243c59b2,29,25.9721,05/31/2021 11:04:51
60b498a3103cf581243c59b3,30,25.5028,05/31/2021 11:04:51
60b498a3103cf581243c59b4,31,26.0825,05/31/2021 11:04:51
60b498a3103cf581243c59b5,32,25.8838,05/31/2021 11:04:51
60b498a3103cf581243c59b6,33,25.9067,05/31/2021 11:04:51
60b498a3103cf581243c59b7,34,25.864,05/31/2021 11:04:51
60b498a3103cf581243c59b8,35,25.707,05/31/2021 11:04:51
60b498a3103cf581243c59b9,36,25.4674,05/31/2021 11:04:51
60b498a3103cf581243c59ba,37,25.5607,05/31/2021 11:04:51
60b498a3103cf581243c59bb,38,25.7428,05/31/2021 11:04:51
60b498a3103cf581243c59bc,39,26.0767,05/31/2021 11:04:51
60b498a3103cf581243c59bd,40,25.0527,05/31/2021 11:04:51
60b498a3103cf581243c59be,41,25.0388,05/31/2021 11:04:51
60b498a3103cf581243c59bf,42,24.2936,05/31/2021 11:04:51
60b498a3103cf581243c59c0,43,23.6826,05/31/2021 11:04:51
60b498a3103cf581243c59c1,44,23.432,05/31/2021 11:04:51
60b498a3103cf581243c59c2,45,24.042,05/31/2021 11:04:51
60b498a3103cf581243c59c3,46,23.9053,05/31/2021 11:04:51
60b498a3103cf581243c59c4,47,24.1919,05/31/2021 11:04:51
60b498a3103cf581243c59c5,48,23.4182,05/31/2021 11:04:51
60b498a3103cf581243c59c6,49,23.818,05/31/2021 11:04:51
60b498a3103cf581243c59c7,50,23.6813,05/31/2021 11:04:51
60b498b9f1522348d8f3cc91,1,27.1929,05/31/2021 11:05:13
60b498b9f1522348d8f3cc92,2,27.7083,05/31/2021 11:05:13
60b498b9f1522348d8f3cc93,3,27.9816,05/31/2021 11:05:13
60b498b9f1522348d8f3cc94,4,27.8265,05/31/2021 11:05:13
60b498b9f1522348d8f3cc95,5,28.0939,05/31/2021 11:05:13
60b498b9f1522348d8f3cc96,6,27.5982,05/31/2021 11:05:13
60b498b9f1522348d8f3cc97,7,25.8437,05/31/2021 11:05:13
60b498b9f1522348d8f3cc98,8,25.7251,05/31/2021 11:05:13
60b498b9f1522348d8f3cc99,9,25.176,05/31/2021 11:05:13
60b498b9f1522348d8f3cc9a,10,26.6562,05/31/2021 11:05:13
60b498b9f1522348d8f3cc9b,11,27.0628,05/31/2021 11:05:13
60b498b9f1522348d8f3cc9c,12,27.0727,05/31/2021 11:05:13
60b498b9f1522348d8f3cc9d,13,26.7562,05/31/2021 11:05:13
60b498b9f1522348d8f3cc9e,14,25.7112,05/31/2021 11:05:13
60b498b9f1522348d8f3cc9f,15,26.3967,05/31/2021 11:05:13
60b498b9f1522348d8f3cca0,16,27.0273,05/31/2021 11:05:13
60b498b9f1522348d8f3cca1,17,27.0722,05/31/2021 11:05:13
60b498b9f1522348d8f3cca2,18,26.9395,05/31/2021 11:05:13
60b498b9f1522348d8f3cca3,19,25.3289,05/31/2021 11:05:13
60b498b9f1522348d8f3cca4,20,25.6285,05/31/2021 11:05:13
60b498b9f1522348d8f3cca5,21,25.381,05/31/2021 11:05:13
60b498b9f1522348d8f3cca6,22,25.6345,05/31/2021 11:05:13
60b498b9f1522348d8f3cca7,23,25.6557,05/31/2021 11:05:13
60b498b9f1522348d8f3cca8,24,25.565,05/31/2021 11:05:13
60b498b9f1522348d8f3cca9,25,25.7577,05/31/2021 11:05:13
60b498b9f1522348d8f3ccaa,26,25.665,05/31/2021 11:05:13
60b498b9f1522348d8f3ccab,27,25.5089,05/31/2021 11:05:13
60b498b9f1522348d8f3ccac,28,25.8562,05/31/2021 11:05:13
60b498b9f1522348d8f3ccad,29,25.9721,05/31/2021 11:05:13
60b498b9f1522348d8f3ccae,30,25.5028,05/31/2021 11:05:13
60b498b9f1522348d8f3ccaf,31,26.0825,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb0,32,25.8838,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb1,33,25.9067,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb2,34,25.864,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb3,35,25.707,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb4,36,25.4674,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb5,37,25.5607,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb6,38,25.7428,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb7,39,26.0767,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb8,40,25.0527,05/31/2021 11:05:13
60b498b9f1522348d8f3ccb9,41,25.0388,05/31/2021 11:05:13
60b498b9f1522348d8f3ccba,42,24.2936,05/31/2021 11:05:13
60b498b9f1522348d8f3ccbb,43,23.6826,05/31/2021 11:05:13
60b498b9f1522348d8f3ccbc,44,23.432,05/31/2021 11:05:13
60b498b9f1522348d8f3ccbd,45,24.042,05/31/2021 11:05:13
60b498b9f1522348d8f3ccbe,46,23.9053,05/31/2021 11:05:13
60b498b9f1522348d8f3ccbf,47,24.1919,05/31/2021 11:05:13
60b498b9f1522348d8f3ccc0,48,23.4182,05/31/2021 11:05:13
60b498b9f1522348d8f3ccc1,49,23.818,05/31/2021 11:05:13
60b498b9f1522348d8f3ccc2,50,23.6813,05/31/2021 11:05:13
60b498c4b0d3941ee894d7d7,1,27.6122,05/31/2021 11:05:24
60b498c4b0d3941ee894d7d8,2,27.7083,05/31/2021 11:05:24
60b498c4b0d3941ee894d7d9,3,27.9816,05/31/2021 11:05:24
60b498c4b0d3941ee894d7da,4,27.8265,05/31/2021 11:05:24
60b498c4b0d3941ee894d7db,5,28.0939,05/31/2021 11:05:24
60b498c4b0d3941ee894d7dc,6,27.5982,05/31/2021 11:05:24
