Sensor No,Temp,Time
45,23.698423385620117,10:59:36
46,23.580974578857422,10:59:36
47,23.780954360961914,10:59:36
48,22.984050750732422,10:59:36
49,23.504638671875,10:59:36
50,23.28423500061035,10:59:36
1,27.812213897705078,11:00:06
2,27.937223434448242,11:00:06
3,28.381534576416016,11:00:06
4,28.170427322387695,11:00:06
5,28.187185287475586,11:00:06
6,27.79474639892578,11:00:06
7,26.316492080688477,11:00:06
8,25.509033203125,11:00:06
9,25.014572143554688,11:00:06
10,25.722801208496094,11:00:06
11,26.23081398010254,11:00:06
12,26.016868591308594,11:00:06
13,25.870132446289062,11:00:06
14,25.018220901489258,11:00:06
15,25.515884399414062,11:00:06
16,26.204612731933594,11:00:06
17,26.125259399414062,11:00:06
18,25.9768009185791,11:00:06
19,24.66508674621582,11:00:06
20,24.975534439086914,11:00:06
21,24.790382385253906,11:00:06
22,25.020641326904297,11:00:06
23,24.840402603149414,11:00:06
24,24.846599578857422,11:00:06
25,25.1129207611084,11:00:06
26,24.97582244873047,11:00:06
27,24.760164260864258,11:00:06
28,25.205646514892578,11:00:06
29,25.420047760009766,11:00:06
30,24.989755630493164,11:00:06
31,25.597518920898438,11:00:06
32,25.29189109802246,11:00:06
33,25.27692985534668,11:00:06
34,25.268835067749023,11:00:06
35,25.06587028503418,11:00:06
36,24.674036026000977,11:00:06
37,24.879150390625,11:00:06
38,24.935781478881836,11:00:06
39,25.3775634765625,11:00:06
40,24.528846740722656,11:00:06
41,24.449270248413086,11:00:06
42,23.96336555480957,11:00:06
43,23.332496643066406,11:00:06
44,23.024816513061523,11:00:06
45,23.698423385620117,11:00:06
46,23.580974578857422,11:00:06
47,23.780954360961914,11:00:06
48,22.984050750732422,11:00:06
49,23.504638671875,11:00:06
50,23.28423500061035,11:00:06
1,27.812213897705078,11:00:28
2,27.937223434448242,11:00:28
3,28.381534576416016,11:00:28
4,28.170427322387695,11:00:28
5,28.187185287475586,11:00:28
6,27.79474639892578,11:00:28
7,26.316492080688477,11:00:28
8,25.509033203125,11:00:28
9,25.014572143554688,11:00:28
10,25.722801208496094,11:00:28
11,26.23081398010254,11:00:28
12,26.016868591308594,11:00:28
13,25.870132446289062,11:00:28
14,25.018220901489258,11:00:28
15,25.515884399414062,11:00:28
16,26.204612731933594,11:00:28
17,26.125259399414062,11:00:28
18,25.9768009185791,11:00:28
19,24.66508674621582,11:00:28
20,24.975534439086914,11:00:28
21,24.790382385253906,11:00:28
22,25.020641326904297,11:00:28
23,24.840402603149414,11:00:28
24,24.880966186523438,11:00:28
25,25.1129207611084,11:00:28
26,24.97582244873047,11:00:28
27,24.760164260864258,11:00:28
28,25.205646514892578,11:00:28
29,25.420047760009766,11:00:28
30,24.989755630493164,11:00:28
31,25.597518920898438,11:00:28
32,25.29189109802246,11:00:28
33,25.27692985534668,11:00:28
34,25.268835067749023,11:00:28
35,25.06587028503418,11:00:28
36,24.674036026000977,11:00:28
37,24.879150390625,11:00:28
38,24.935781478881836,11:00:28
39,25.3775634765625,11:00:28
40,24.528846740722656,11:00:28
41,24.449270248413086,11:00:28
42,23.96336555480957,11:00:28
43,23.332496643066406,11:00:28
44,23.024816513061523,11:00:28
45,23.698423385620117,11:00:28
46,23.580974578857422,11:00:28
47,23.780954360961914,11:00:28
48,22.984050750732422,11:00:28
49,23.504638671875,11:00:28
50,23.28423500061035,11:00:28
1,27.812213897705078,11:01:06
2,27.937223434448242,11:01:06
3,28.381534576416016,11:01:06
4,28.170427322387695,11:01:06
5,28.187185287475586,11:01:06
6,27.79474639892578,11:01:06
7,26.316492080688477,11:01:06
8,25.509033203125,11:01:06
9,25.014572143554688,11:01:06
10,25.722801208496094,11:01:06
11,26.23081398010254,11:01:06
12,26.016868591308594,11:01:06
13,25.870132446289062,11:01:06
14,25.018220901489258,11:01:06
15,25.515884399414062,11:01:06
16,26.204612731933594,11:01:06
17,26.125259399414062,11:01:06
18,25.9768009185791,11:01:06
19,24.66508674621582,11:01:06
20,24.975534439086914,11:01:06
21,24.790382385253906,11:01:06
22,25.020641326904297,11:01:06
23,24.840402603149414,11:01:06
24,24.880966186523438,11:01:06
25,25.1129207611084,11:01:06
26,25.00387954711914,11:01:06
27,24.760164260864258,11:01:06
28,25.205646514892578,11:01:06
29,25.420047760009766,11:01:06
30,24.989755630493164,11:01:06
31,25.597518920898438,11:01:06
32,25.29189109802246,11:01:06
33,25.27692985534668,11:01:06
34,25.268835067749023,11:01:06
35,25.06587028503418,11:01:06
36,24.674036026000977,11:01:06
37,24.879150390625,11:01:06
38,24.935781478881836,11:01:06
39,25.3775634765625,11:01:06
40,24.528846740722656,11:01:06
41,24.449270248413086,11:01:06
42,23.96336555480957,11:01:06
43,23.332496643066406,11:01:06
44,23.024816513061523,11:01:06
45,23.698423385620117,11:01:06
46,23.580974578857422,11:01:06
47,23.780954360961914,11:01:06
48,22.984050750732422,11:01:06
49,23.504638671875,11:01:06
50,23.37477684020996,11:01:06
1,27.812213897705078,11:01:57
2,27.937223434448242,11:01:57
3,28.381534576416016,11:01:57
4,28.170427322387695,11:01:57
5,28.187185287475586,11:01:57
6,27.79474639892578,11:01:57
7,26.316492080688477,11:01:57
8,25.509033203125,11:01:57
9,25.014572143554688,11:01:57
10,25.722801208496094,11:01:57
11,26.23081398010254,11:01:57
12,26.016868591308594,11:01:57
13,25.870132446289062,11:01:57
14,25.018220901489258,11:01:57
15,25.515884399414062,11:01:57
16,26.204612731933594,11:01:57
17,26.10114288330078,11:01:57
18,25.9768009185791,11:01:57
19,24.66508674621582,11:01:57
20,24.975534439086914,11:01:57
21,24.790382385253906,11:01:57
22,25.020641326904297,11:01:57
23,24.840402603149414,11:01:57
24,24.880966186523438,11:01:57
25,25.1129207611084,11:01:57
26,25.00387954711914,11:01:57
27,24.760164260864258,11:01:57
28,25.205646514892578,11:01:57
29,25.420047760009766,11:01:57
30,24.989755630493164,11:01:57
31,25.597518920898438,11:01:57
32,25.29189109802246,11:01:57
33,25.27692985534668,11:01:57
34,25.268835067749023,11:01:57
35,25.06587028503418,11:01:57
36,24.674036026000977,11:01:57
37,24.879150390625,11:01:57
38,24.935781478881836,11:01:57
39,25.3775634765625,11:01:57
40,24.528846740722656,11:01:57
41,24.55978775024414,11:01:57
42,23.96336555480957,11:01:57
43,23.332496643066406,11:01:57
44,23.024816513061523,11:01:57
45,23.698423385620117,11:01:57
46,23.580974578857422,11:01:57
47,23.780954360961914,11:01:57
48,22.984050750732422,11:01:57
49,23.504638671875,11:01:57
50,23.37477684020996,11:01:57
1,27.812213897705078,11:03:22
2,27.937223434448242,11:03:22
3,28.381534576416016,11:03:22
4,28.170427322387695,11:03:22
5,28.187185287475586,11:03:22
6,27.79474639892578,11:03:22
7,26.316492080688477,11:03:22
8,25.509033203125,11:03:22
9,25.014572143554688,11:03:22
10,25.722801208496094,11:03:22
11,26.23081398010254,11:03:22
12,26.016868591308594,11:03:22
13,25.870132446289062,11:03:22
14,25.018220901489258,11:03:22
15,25.515884399414062,11:03:22
16,26.204612731933594,11:03:22
17,26.10114288330078,11:03:22
18,25.9768009185791,11:03:22
19,24.66508674621582,11:03:22
20,24.975534439086914,11:03:22
21,24.790382385253906,11:03:22
22,25.020641326904297,11:03:22
23,24.840402603149414,11:03:22
24,24.880966186523438,11:03:22
25,25.1129207611084,11:03:22
26,25.00387954711914,11:03:22
27,24.760164260864258,11:03:22
28,25.205646514892578,11:03:22
29,25.420047760009766,11:03:22
30,24.989755630493164,11:03:22
31,25.597518920898438,11:03:22
32,25.29189109802246,11:03:22
33,25.27692985534668,11:03:22
34,25.268835067749023,11:03:22
35,25.06587028503418,11:03:22
36,24.674036026000977,11:03:22
37,24.879150390625,11:03:22
38,24.935781478881836,11:03:22
39,25.3775634765625,11:03:22
40,24.528846740722656,11:03:22
41,24.55978775024414,11:03:22
42,23.96336555480957,11:03:22
43,23.332496643066406,11:03:22
44,23.024816513061523,11:03:22
45,23.698423385620117,11:03:22
46,23.580974578857422,11:03:22
47,23.780954360961914,11:03:22
48,22.984050750732422,11:03:22
49,23.504638671875,11:03:22
50,23.37477684020996,11:03:22
1,27.812213897705078,11:07:50
2,28.096994400024414,11:07:50
3,28.381534576416016,11:07:50
4,28.175199508666992,11:07:50
5,28.187185287475586,11:07:50
6,27.79474639892578,11:07:50
7,26.316492080688477,11:07:50
8,25.509033203125,11:07:50
9,25.014572143554688,11:07:50
10,25.722801208496094,11:07:50
11,26.23081398010254,11:07:50
12,26.016868591308594,11:07:50
13,25.870132446289062,11:07:50
14,25.018220901489258,11:07:50
15,25.515884399414062,11:07:50
16,26.204612731933594,11:07:50
17,26.10114288330078,11:07:50
18,26.007192611694336,11:07:50
19,24.66508674621582,11:07:50
20,24.975534439086914,11:07:50
21,24.790382385253906,11:07:50
22,25.020641326904297,11:07:50
23,24.840402603149414,11:07:50
24,24.880966186523438,11:07:50
25,25.1129207611084,11:07:50
