,Sensor No,Temp,Time
589,10,26.1365,2021-06-11 10:49:06
590,10,26.1365,2021-06-11 10:51:30
591,10,26.1365,2021-06-11 10:52:18
592,10,26.1365,2021-06-11 10:55:43
593,10,26.1365,2021-06-11 10:56:25
594,10,26.1365,2021-06-11 10:57:16
595,10,26.1365,2021-06-11 10:57:49
596,10,26.1365,2021-06-11 11:00:29
597,10,26.1365,2021-06-11 11:00:45
598,10,26.1365,2021-06-11 11:00:49
599,10,26.1365,2021-06-11 11:01:37
600,10,26.1365,2021-06-11 11:01:43
601,10,26.1365,2021-06-11 11:02:08
602,10,26.1365,2021-06-11 11:02:18
603,10,26.1365,2021-06-11 11:02:22
604,10,26.1365,2021-06-11 11:02:33
605,10,26.1365,2021-06-11 11:02:36
606,10,26.1365,2021-06-11 11:02:53
607,10,26.1365,2021-06-11 11:02:55
608,10,26.1365,2021-06-11 11:03:23
609,10,26.1424,2021-06-11 11:36:03
610,10,26.5332,2021-06-11 11:49:05
611,10,26.5332,2021-06-11 11:49:31
612,10,26.9907,2021-06-11 14:48:43
613,10,26.9907,2021-06-11 14:49:07
614,10,27.0906,2021-06-11 15:54:58
615,10,27.0906,2021-06-11 15:55:08
616,10,27.0906,2021-06-11 15:59:03
617,10,27.0906,2021-06-11 16:06:36
618,10,27.0906,2021-06-11 16:18:49
619,10,27.1761,2021-06-11 16:22:00
620,10,27.1761,2021-06-11 16:22:15
621,10,27.1761,2021-06-11 16:23:01
622,10,27.1761,2021-06-11 16:23:41
623,10,0.0,2021-06-13 15:09:36
624,10,0.0,2021-06-13 15:13:36
625,10,0.0,2021-06-13 15:14:59
626,10,24.5323,2021-06-14 08:00:35
627,10,24.5323,2021-06-14 08:01:02
628,10,24.5323,2021-06-14 08:01:05
629,10,24.5323,2021-06-14 08:03:53
630,10,24.5323,2021-06-14 08:04:09
631,10,24.5323,2021-06-14 08:04:12
632,10,24.5323,2021-06-14 08:04:56
633,10,24.5323,2021-06-14 08:04:57
634,10,24.5323,2021-06-14 08:04:58
635,10,24.5323,2021-06-14 08:04:58
636,10,24.5323,2021-06-14 08:04:59
637,10,24.5323,2021-06-14 08:05:00
638,10,24.5323,2021-06-14 08:05:01
639,10,24.5323,2021-06-14 08:05:02
640,10,24.5323,2021-06-14 08:05:34
641,10,24.5323,2021-06-14 08:05:34
642,10,24.5323,2021-06-14 08:05:35
643,10,24.5323,2021-06-14 08:05:36
644,10,24.5323,2021-06-14 08:05:37
645,10,24.5323,2021-06-14 08:06:01
646,10,24.5323,2021-06-14 08:12:24
647,10,25.3238,2021-06-14 11:02:33
648,10,25.3238,2021-06-14 11:09:42
649,10,25.3238,2021-06-14 11:11:36
650,10,25.3238,2021-06-14 11:13:59
651,10,25.3238,2021-06-14 11:14:58
652,10,25.3986,2021-06-14 11:27:45
653,10,25.3986,2021-06-14 11:28:11
654,10,25.2638,2021-06-14 13:21:16
655,10,25.2638,2021-06-14 13:21:22
656,10,25.2638,2021-06-14 13:22:18
657,10,25.2638,2021-06-14 13:22:28
658,10,25.2638,2021-06-14 13:22:41
659,10,25.2638,2021-06-14 13:39:20
660,10,25.2638,2021-06-14 13:39:28
661,10,25.3889,2021-06-14 14:18:54
662,10,25.3889,2021-06-14 14:34:00
663,10,25.3889,2021-06-14 14:34:20
664,10,25.3889,2021-06-14 14:35:28
665,10,25.3889,2021-06-14 14:35:47
666,10,25.3889,2021-06-14 14:35:51
667,10,25.3889,2021-06-14 14:35:58
668,10,25.3889,2021-06-14 14:38:38
669,10,25.3889,2021-06-14 14:38:56
670,10,25.3889,2021-06-14 14:38:59
671,10,25.3889,2021-06-14 14:39:02
672,10,25.3889,2021-06-14 14:39:19
673,10,25.3889,2021-06-14 14:39:22
674,10,25.3889,2021-06-14 14:39:27
675,10,25.3889,2021-06-14 14:39:29
