mydoc: _id: ObjectId, Sensor No, Temp, Time, Clock
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85b'), 'Sensor No': '36', 'Temp': '23.6789', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85c'), 'Sensor No': '37', 'Temp': '23.9118', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85d'), 'Sensor No': '38', 'Temp': '24.0495', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85e'), 'Sensor No': '39', 'Temp': '24.3664', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85f'), 'Sensor No': '40', 'Temp': '23.4343', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa860'), 'Sensor No': '41', 'Temp': '23.5795', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa861'), 'Sensor No': '42', 'Temp': '23.4081', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa862'), 'Sensor No': '43', 'Temp': '22.8207', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa863'), 'Sensor No': '44', 'Temp': '22.4726', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa864'), 'Sensor No': '45', 'Temp': '23.1134', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa865'), 'Sensor No': '46', 'Temp': '22.992', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa866'), 'Sensor No': '47', 'Temp': '23.2878', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa867'), 'Sensor No': '48', 'Temp': '22.4751', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa868'), 'Sensor No': '49', 'Temp': '22.9724', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa869'), 'Sensor No': '50', 'Temp': '22.6126', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c5'), 'Sensor No': '1', 'Temp': '24.9687', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c6'), 'Sensor No': '2', 'Temp': '25.0867', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c7'), 'Sensor No': '3', 'Temp': '25.4702', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c8'), 'Sensor No': '4', 'Temp': '25.4515', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c9'), 'Sensor No': '5', 'Temp': '25.4765', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ca'), 'Sensor No': '6', 'Temp': '25.2915', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720cb'), 'Sensor No': '7', 'Temp': '23.9694', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720cc'), 'Sensor No': '8', 'Temp': '24.4216', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720cd'), 'Sensor No': '9', 'Temp': '23.8493', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ce'), 'Sensor No': '10', 'Temp': '24.4707', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720cf'), 'Sensor No': '11', 'Temp': '24.9867', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d0'), 'Sensor No': '12', 'Temp': '24.8481', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d1'), 'Sensor No': '13', 'Temp': '24.7463', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d2'), 'Sensor No': '14', 'Temp': '24.4476', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d3'), 'Sensor No': '15', 'Temp': '24.4357', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d4'), 'Sensor No': '16', 'Temp': '24.8134', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d5'), 'Sensor No': '17', 'Temp': '24.7212', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d6'), 'Sensor No': '18', 'Temp': '24.7382', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d7'), 'Sensor No': '19', 'Temp': '23.7133', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d8'), 'Sensor No': '20', 'Temp': '24.02', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d9'), 'Sensor No': '21', 'Temp': '23.8236', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720da'), 'Sensor No': '22', 'Temp': '24.065', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720db'), 'Sensor No': '23', 'Temp': '23.899', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720dc'), 'Sensor No': '24', 'Temp': '23.9644', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720dd'), 'Sensor No': '25', 'Temp': '24.157', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720de'), 'Sensor No': '26', 'Temp': '23.9963', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720df'), 'Sensor No': '27', 'Temp': '23.7442', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e0'), 'Sensor No': '28', 'Temp': '24.1953', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e1'), 'Sensor No': '29', 'Temp': '24.3444', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e2'), 'Sensor No': '30', 'Temp': '23.9484', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e3'), 'Sensor No': '31', 'Temp': '24.6008', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e4'), 'Sensor No': '32', 'Temp': '24.2553', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e5'), 'Sensor No': '33', 'Temp': '24.3061', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e6'), 'Sensor No': '34', 'Temp': '24.265', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e7'), 'Sensor No': '35', 'Temp': '24.0122', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e8'), 'Sensor No': '36', 'Temp': '23.6789', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720e9'), 'Sensor No': '37', 'Temp': '23.9118', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ea'), 'Sensor No': '38', 'Temp': '24.0495', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720eb'), 'Sensor No': '39', 'Temp': '24.3664', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ec'), 'Sensor No': '40', 'Temp': '23.4343', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ed'), 'Sensor No': '41', 'Temp': '23.5795', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ee'), 'Sensor No': '42', 'Temp': '23.4081', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ef'), 'Sensor No': '43', 'Temp': '22.8207', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720f0'), 'Sensor No': '44', 'Temp': '22.4726', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720f1'), 'Sensor No': '45', 'Temp': '23.1134', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720f2'), 'Sensor No': '46', 'Temp': '22.992', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720f3'), 'Sensor No': '47', 'Temp': '23.2878', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720f4'), 'Sensor No': '48', 'Temp': '22.4751', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720f5'), 'Sensor No': '49', 'Temp': '22.9724', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720f6'), 'Sensor No': '50', 'Temp': '22.6126', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182446'), 'Sensor No': '1', 'Temp': '24.9687', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182447'), 'Sensor No': '2', 'Temp': '25.6154', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182448'), 'Sensor No': '3', 'Temp': '25.7764', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182449'), 'Sensor No': '4', 'Temp': '25.4515', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418244a'), 'Sensor No': '5', 'Temp': '25.4765', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418244b'), 'Sensor No': '6', 'Temp': '25.2915', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418244c'), 'Sensor No': '7', 'Temp': '23.9694', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418244d'), 'Sensor No': '8', 'Temp': '24.4216', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418244e'), 'Sensor No': '9', 'Temp': '23.8493', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418244f'), 'Sensor No': '10', 'Temp': '24.7828', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182450'), 'Sensor No': '11', 'Temp': '25.3252', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182451'), 'Sensor No': '12', 'Temp': '25.1126', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182452'), 'Sensor No': '13', 'Temp': '24.7463', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182453'), 'Sensor No': '14', 'Temp': '24.4476', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182454'), 'Sensor No': '15', 'Temp': '24.5482', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182455'), 'Sensor No': '16', 'Temp': '25.318', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182456'), 'Sensor No': '17', 'Temp': '25.001', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182457'), 'Sensor No': '18', 'Temp': '24.7382', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182458'), 'Sensor No': '19', 'Temp': '23.7133', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182459'), 'Sensor No': '20', 'Temp': '24.02', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418245a'), 'Sensor No': '21', 'Temp': '23.9432', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418245b'), 'Sensor No': '22', 'Temp': '24.065', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418245c'), 'Sensor No': '23', 'Temp': '24.2333', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418245d'), 'Sensor No': '24', 'Temp': '23.9644', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418245e'), 'Sensor No': '25', 'Temp': '24.157', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c418245f'), 'Sensor No': '26', 'Temp': '24.2582', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182460'), 'Sensor No': '27', 'Temp': '23.9524', 'Time': '05/24/2021, 08:39:00'}
mydoc: {'_id': ObjectId('60ab3bf44199d737c4182461'), 'Sensor No': '28', 'Temp': '24.3828', 'Time': '05/24/2021, 08:39:00'}
